state,CENSUS_REGION,STATE_NAME,latitude,longitude
AK,West,ALASKA,61.385,-152.2683
AL,South,ALABAMA,32.799,-86.8073
AR,South,ARKANSAS,34.9513,-92.3809
AS,Territory,AMERICAN SAMOA,14.2417,-170.7197
AZ,West,ARIZONA,33.7712,-111.3877
CA,West,CALIFORNIA,36.17,-119.7462
CO,West,COLORADO,39.0646,-105.3272
CT,Northeast,CONNECTICUT,41.5834,-72.7622
DC,South,WASHINGTON DC,38.8964,-77.0262
DE,South,DELAWARE,39.3498,-75.5148
FL,South,FLORIDA,27.8333,-81.717
GA,South,GEORGIA,32.9866,-83.6487
HI,West,HAWAII,21.1098,-157.5311
IA,Midwest,IOWA,42.0046,-93.214
ID,West,IDAHO,44.2394,-114.5103
IL,Midwest,ILLINOIS,40.3363,-89.0022
IN,Midwest,INDIANA,39.8647,-86.2604
KS,South,KANSAS,38.5111,-96.8005
KY,South,KENTUCKY,37.669,-84.6514
LA,South,LOUISIANA,31.1801,-91.8749
MA,Northeast,MASSACHUSETTS,42.2373,-71.5314
MD,South,MARYLAND,39.0724,-76.7902
ME,Northeast,MAINE,44.6074,-69.3977
MI,Midwest,MICHIGAN,43.3504,-84.5603
MN,Midwest,MINNESOTA,45.7326,-93.9196
MO,Midwest,MISSOURI,38.4623,-92.302
MP,Territory,NORTHERN MARIANA ISLANDS,14.8058,145.5505
MS,South,MISSISSIPPI,32.7673,-89.6812
MT,West,MONTANA,46.9048,-110.3261
NC,West,NORTH CAROLINA,35.6411,-79.8431
ND,Midwest,NORTH DAKOTA,47.5362,-99.793
NE,Midwest,NEBRASKA,41.1289,-98.2883
NH,Northeast,NEW HAMPSHIRE,43.4108,-71.5653
NJ,Northeast,NEW JERSEY,40.314,-74.5089
NM,West,NEW MEXICO,34.8375,-106.2371
NV,West,NEVADA,38.4199,-117.1219
NY,Northeast,NEW YORK,42.1497,-74.9384
OH,Midwest,OHIO,40.3736,-82.7755
OK,West,OKLAHOMA,35.5376,-96.9247
OR,West,OREGON,44.5672,-122.1269
PA,Northeast,PENNSYLVANIA,40.5773,-77.264
PR,Territory,PUERTO RICO,18.2766,-66.335
RI,Northeast,RHODE ISLAND,41.6772,-71.5101
SC,South,SOUTH CAROLINA,33.8191,-80.9066
SD,Midwest,SOUTH DAKOTA,44.2853,-99.4632
TN,South,TENNESSEE,35.7449,-86.7489
TX,South,TEXAS,31.106,-97.6475
UT,West,UTAH,40.1135,-111.8535
VA,South,VIRGINIA,37.768,-78.2057
VI,Territory,U.S. VIRGIN ISLANDS,18.0001,-64.8199
VT,Northeast,VERMONT,44.0407,-72.7093
WA,West,WASHINGTON,47.3917,-121.5708
WI,Midwest,WISCONSIN,44.2563,-89.6385
WV,South,WEST VIRGINIA,38.468,-80.9696
WY,West,WYOMING,42.7475,-107.2085
